Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
3.0,0.0,-1.0,0.0,0.0,0.0,162.0,94.0,47034.0,80.0,17.9,39.9,18.6,90.3,5.1,12.7
4.0,0.0,1.0,1.0,0.0,0.0,143.0,101.0,49769.0,89.3,18.1,41.5,18.6,74.5,20.6,17.0
4.0,0.0,0.0,0.0,0.0,1.0,90.0,50.0,52079.0,91.8,29.2,33.6,13.6,85.4,6.3,8.0
3.0,1.0,-1.0,-1.0,0.0,-1.0,166.0,108.0,54072.0,71.3,15.1,33.4,11.1,80.8,9.5,79.4
2.0,0.0,-1.0,-1.0,0.0,-1.0,249.0,215.0,22739.0,56.3,6.7,40.7,21.9,81.4,0.9,98.2
1.0,0.0,0.0,-1.0,-1.0,-1.0,122.0,350.0,72093.0,83.8,34.1,38.8,13.4,62.3,23.2,31.6
3.0,1.0,-1.0,-1.0,0.0,-1.0,130.0,157.0,58575.0,90.2,32.6,39.6,15.9,65.9,14.3,26.7
2.0,-1.0,1.0,-1.0,0.0,0.0,132.0,84.0,36798.0,80.8,14.3,38.7,17.0,53.5,45.9,3.2
,,,,,1.0,73.0,116.0,101832.0,96.0,49.3,35.1,8.2,84.8,4.0,18.8
4.0,0.0,1.0,,,1.0,104.0,44.0,43568.0,84.1,24.5,36.1,16.9,86.5,4.7,13.5
4.0,0.0,0.0,0.0,0.0,1.0,113.0,80.0,77055.0,97.3,48.0,31.8,9.9,93.0,3.7,1.6
4.0,0.0,1.0,0.0,,1.0,110.0,56.0,48085.0,88.1,18.0,44.1,19.1,96.7,3.1,2.1
3.0,0.0,1.0,1.0,0.0,-1.0,179.0,133.0,104414.0,98.4,64.9,37.5,15.8,88.3,5.2,16.6
4.0,0.0,0.0,,0.0,1.0,114.0,40.0,46795.0,91.9,18.1,48.6,24.0,97.1,2.6,1.3
2.0,0.0,-1.0,-1.0,0.0,-1.0,139.0,146.0,55164.0,87.5,16.4,41.4,17.7,83.1,8.0,20.9
,,0.0,,,,,,33869.0,71.0,13.0,42.3,19.4,96.2,3.7,2.4
4.0,0.0,0.0,1.0,0.0,1.0,149.0,36.0,42266.0,72.3,15.4,32.8,15.4,90.1,0.6,75.7
4.0,0.0,-1.0,1.0,0.0,-1.0,198.0,142.0,103791.0,97.6,73.1,34.6,18.5,81.9,8.6,3.6
1.0,0.0,-1.0,-1.0,0.0,-1.0,168.0,229.0,49693.0,78.7,18.5,35.1,12.7,37.4,48.8,11.4
,,,,0.0,0.0,118.0,40.0,54250.0,87.2,21.3,36.7,17.1,89.2,0.2,11.0
2.0,0.0,-1.0,-1.0,0.0,-1.0,211.0,176.0,44908.0,91.1,32.6,39.7,16.9,71.1,29.1,2.2
3.0,0.0,1.0,-1.0,0.0,1.0,117.0,94.0,51521.0,84.5,17.8,32.5,11.9,60.9,1.7,23.1
,,0.0,,,1.0,103.0,16.0,50361.0,83.3,19.4,39.5,16.9,98.4,0.1,20.4
3.0,0.0,0.0,-1.0,0.0,0.0,114.0,91.0,55156.0,83.8,16.5,35.1,12.2,81.4,13.3,9.9
4.0,0.0,1.0,0.0,0.0,1.0,115.0,59.0,38152.0,92.8,33.3,25.3,13.7,92.3,4.9,1.2
4.0,0.0,1.0,1.0,0.0,1.0,123.0,54.0,48315.0,87.6,15.1,43.9,20.4,97.9,0.7,1.7
,,,,,,162.0,100.0,51750.0,96.8,34.6,20.8,0.0,66.1,22.2,18.6
3.0,0.0,-1.0,1.0,0.0,-1.0,130.0,235.0,36157.0,72.5,9.0,34.7,11.5,60.8,28.6,7.5
4.0,0.0,1.0,0.0,0.0,0.0,172.0,71.0,43756.0,90.1,11.6,43.9,20.4,97.5,2.3,2.6
4.0,,0.0,1.0,,1.0,102.0,24.0,64196.0,94.9,25.3,42.0,14.2,98.1,1.3,2.7
4.0,0.0,0.0,0.0,0.0,0.0,108.0,69.0,44565.0,56.5,8.0,28.0,9.6,71.1,0.6,72.9
2.0,0.0,0.0,-1.0,-1.0,-1.0,195.0,128.0,55609.0,89.6,25.6,38.0,15.7,40.5,56.3,6.5
3.0,0.0,0.0,-1.0,0.0,1.0,135.0,105.0,115248.0,97.8,66.5,42.5,17.3,90.1,0.8,17.6
,,,,,,,,54707.0,83.5,40.8,33.8,8.9,65.7,21.1,37.8
,,,1.0,,,,,139951.0,98.4,81.4,42.1,14.3,90.7,0.9,13.7
4.0,0.0,1.0,1.0,0.0,0.0,145.0,104.0,39746.0,78.8,19.9,37.3,12.7,77.7,14.0,64.6
,,,,,0.0,78.0,58.0,49896.0,93.4,18.8,43.5,23.4,34.0,0.7,3.6
3.0,-1.0,-1.0,0.0,0.0,-1.0,165.0,132.0,55676.0,91.5,23.1,47.6,26.1,93.5,1.2,11.2
4.0,0.0,1.0,0.0,0.0,0.0,130.0,70.0,47350.0,87.7,18.1,37.6,16.6,91.2,6.9,13.9
2.0,-1.0,-1.0,-1.0,-1.0,-1.0,156.0,135.0,54706.0,86.5,18.9,36.6,14.8,91.7,7.6,5.8
2.0,0.0,-1.0,-1.0,0.0,0.0,131.0,76.0,37401.0,89.3,23.5,41.2,19.0,95.5,1.1,1.1
,,,,,1.0,121.0,8.0,44985.0,86.1,18.5,33.8,13.1,58.6,2.0,10.5
,,,,,,122.0,99.0,56440.0,96.6,29.9,21.6,0.4,66.9,28.1,19.2
3.0,0.0,0.0,-1.0,0.0,-1.0,178.0,142.0,39016.0,71.5,36.9,31.8,7.9,38.8,7.7,62.9
4.0,0.0,1.0,0.0,0.0,0.0,138.0,81.0,36613.0,78.4,14.4,40.4,18.1,94.7,2.0,8.4
,,,1.0,,0.0,116.0,31.0,54181.0,85.2,33.6,30.3,7.6,72.9,18.5,35.5
5.0,0.0,1.0,1.0,0.0,-1.0,185.0,92.0,129188.0,94.0,71.3,35.1,11.2,53.8,1.8,16.7
,,,,,,,,,31.2,7.9,59.5,28.1,83.2,5.6,3.6
4.0,0.0,1.0,1.0,0.0,0.0,170.0,72.0,,0.0,0.0,,100.0,100.0,0.0,0.0
,,,,,,132.0,34.0,43092.0,91.2,16.4,43.5,20.2,83.0,13.0,1.7
3.0,0.0,-1.0,0.0,0.0,0.0,154.0,97.0,69190.0,91.7,30.6,36.3,12.5,52.9,46.0,1.9
4.0,0.0,1.0,,,1.0,114.0,16.0,47969.0,89.8,18.6,41.0,16.4,87.2,9.6,7.6
5.0,1.0,-1.0,1.0,0.0,0.0,161.0,78.0,108718.0,97.1,66.8,43.9,16.1,73.9,8.4,6.5
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,179.0,192.0,51385.0,88.3,25.8,39.1,16.7,47.8,49.0,5.2
2.0,0.0,1.0,-1.0,0.0,1.0,132.0,82.0,56788.0,90.5,24.6,39.4,17.5,91.8,3.5,15.3
4.0,0.0,0.0,0.0,0.0,1.0,90.0,47.0,51243.0,90.4,35.6,34.2,11.7,92.0,5.4,5.4
4.0,,0.0,0.0,0.0,1.0,100.0,42.0,55006.0,91.5,14.9,35.9,12.4,95.6,0.5,12.2
4.0,0.0,1.0,0.0,,,,43.0,29069.0,77.8,9.0,37.9,16.6,70.7,6.3,28.7
4.0,0.0,0.0,1.0,,,,,74317.0,96.8,32.2,32.7,15.8,94.4,0.9,8.6
,,,,,,,19.0,65885.0,80.6,18.7,34.8,8.6,55.7,0.0,45.3
2.0,0.0,-1.0,0.0,0.0,-1.0,207.0,161.0,61214.0,89.4,39.1,41.0,18.9,80.8,13.2,20.6
,,,,,,,,62157.0,94.1,23.1,38.1,15.1,87.0,6.0,7.2
3.0,0.0,-1.0,,,1.0,122.0,13.0,37755.0,87.6,14.6,38.8,19.7,97.0,2.8,1.3
3.0,-1.0,-1.0,0.0,0.0,0.0,119.0,102.0,31530.0,94.9,61.4,23.6,7.5,62.2,14.9,6.9
,,,,,,,,80998.0,97.4,68.4,34.7,9.2,71.4,7.8,10.7
,,,,,,,,57554.0,84.5,26.5,39.6,15.7,75.1,8.9,38.4
3.0,0.0,0.0,0.0,-1.0,0.0,144.0,75.0,46897.0,78.8,15.2,43.0,18.6,86.3,9.9,13.6
3.0,0.0,-1.0,0.0,0.0,0.0,166.0,82.0,139312.0,94.5,66.8,39.2,11.6,49.0,7.1,9.7
2.0,0.0,-1.0,-1.0,0.0,1.0,132.0,54.0,31195.0,78.8,13.2,51.7,32.1,76.6,16.4,18.1
3.0,-1.0,1.0,0.0,-1.0,0.0,199.0,82.0,81094.0,92.8,70.3,30.9,5.7,73.1,23.0,3.4
3.0,1.0,0.0,0.0,0.0,0.0,121.0,104.0,35091.0,79.4,13.6,33.5,13.1,59.8,18.2,29.4
,,0.0,,,0.0,138.0,104.0,37134.0,85.1,22.2,52.1,29.6,92.7,2.6,8.7
4.0,0.0,1.0,0.0,0.0,1.0,118.0,50.0,47391.0,82.2,15.7,39.1,16.6,93.8,4.1,8.4
2.0,-1.0,-1.0,0.0,0.0,1.0,118.0,107.0,76610.0,91.8,47.0,41.6,19.1,78.3,7.7,17.8
4.0,0.0,1.0,1.0,0.0,1.0,150.0,47.0,53815.0,86.9,26.2,37.1,18.5,91.2,1.8,21.4
3.0,0.0,1.0,-1.0,0.0,0.0,145.0,94.0,28340.0,77.4,8.7,34.3,11.1,76.0,21.8,10.3
4.0,0.0,0.0,1.0,0.0,1.0,105.0,75.0,43605.0,84.9,16.4,43.3,21.2,69.4,27.8,3.5
,,,,,,,,82555.0,96.1,65.6,37.0,18.6,73.0,18.3,4.0
,0.0,0.0,,,,,99.0,48036.0,91.8,21.5,44.5,22.6,95.1,0.1,3.1
4.0,1.0,-1.0,0.0,0.0,-1.0,245.0,156.0,110671.0,94.4,51.8,44.4,16.5,89.9,2.5,10.0
3.0,0.0,-1.0,1.0,0.0,0.0,114.0,120.0,27471.0,67.9,13.1,30.5,11.2,43.3,38.9,43.2
1.0,0.0,0.0,-1.0,0.0,-1.0,139.0,277.0,20571.0,73.1,22.5,34.7,10.7,44.5,53.2,3.9
5.0,0.0,1.0,1.0,0.0,0.0,146.0,77.0,53539.0,94.3,28.3,32.5,12.7,93.3,1.4,1.4
4.0,0.0,0.0,1.0,0.0,1.0,83.0,42.0,50383.0,84.7,16.8,40.5,17.0,88.4,10.8,5.5
2.0,-1.0,1.0,0.0,0.0,-1.0,204.0,82.0,48485.0,91.5,28.5,38.8,15.0,95.7,3.7,4.7
,,,,,,130.0,,51250.0,84.9,21.6,37.2,18.4,73.7,0.2,5.6
4.0,0.0,1.0,1.0,0.0,0.0,158.0,50.0,68370.0,97.2,37.3,37.6,19.1,95.1,2.9,2.1
,,0.0,,,,112.0,51.0,53611.0,91.4,22.0,39.2,17.1,97.2,0.8,9.8
3.0,0.0,1.0,-1.0,0.0,0.0,158.0,84.0,48117.0,92.2,30.7,34.8,11.1,82.8,16.0,7.8
,,,,,,94.0,,51803.0,83.3,10.6,37.7,19.1,78.1,14.1,56.8
3.0,0.0,1.0,0.0,0.0,-1.0,234.0,130.0,35266.0,66.5,17.6,30.3,8.8,59.3,38.3,53.2
3.0,0.0,-1.0,0.0,0.0,-1.0,162.0,108.0,41856.0,88.6,20.4,51.9,28.5,95.2,2.4,3.4
1.0,0.0,-1.0,-1.0,0.0,-1.0,233.0,366.0,41445.0,55.6,6.0,33.2,8.4,76.6,8.4,61.2
,,,,,,126.0,123.0,67442.0,80.9,18.7,34.2,11.9,52.4,19.9,36.3
3.0,,0.0,,0.0,0.0,98.0,100.0,33750.0,79.8,11.7,39.4,16.9,46.9,54.0,2.1
4.0,0.0,1.0,,,,106.0,,56620.0,91.3,18.8,46.6,24.1,98.1,0.6,0.7
4.0,0.0,-1.0,0.0,0.0,0.0,146.0,110.0,67142.0,94.1,36.4,35.2,12.4,79.7,3.6,49.2
,,,,,,,,50263.0,82.2,12.8,45.6,14.3,97.6,2.4,4.9
3.0,0.0,-1.0,-1.0,0.0,-1.0,133.0,128.0,78019.0,93.5,32.5,45.1,20.0,94.6,3.0,8.5
3.0,0.0,0.0,,0.0,1.0,110.0,46.0,37315.0,85.2,13.7,42.8,21.5,83.9,2.9,2.7
2.0,0.0,-1.0,-1.0,0.0,1.0,84.0,88.0,50527.0,84.9,18.1,40.1,18.0,93.5,5.6,22.2
4.0,0.0,1.0,0.0,0.0,-1.0,173.0,124.0,101119.0,94.2,61.7,41.7,10.8,46.2,12.0,5.9
2.0,-1.0,-1.0,0.0,0.0,0.0,172.0,108.0,36798.0,80.8,14.3,38.7,17.0,53.5,45.9,3.2
4.0,0.0,1.0,0.0,0.0,1.0,99.0,46.0,42752.0,90.0,20.7,39.3,17.3,97.5,1.9,2.2
,,,1.0,,,,,104419.0,99.8,61.7,55.7,32.4,91.8,2.5,1.9
3.0,0.0,1.0,0.0,0.0,0.0,127.0,139.0,84199.0,94.5,36.7,33.8,11.6,88.3,3.8,53.6
3.0,0.0,-1.0,-1.0,0.0,-1.0,156.0,103.0,43504.0,77.3,15.1,33.6,10.3,50.7,29.3,50.4
3.0,0.0,-1.0,0.0,0.0,0.0,144.0,128.0,92045.0,91.3,40.6,38.5,18.7,82.3,4.0,29.0
4.0,0.0,1.0,1.0,,,105.0,,71726.0,94.3,53.5,37.8,18.2,91.4,0.9,4.6
,,,,,,,,50743.0,92.6,57.7,36.6,12.4,69.0,28.1,8.5
4.0,0.0,0.0,1.0,,,137.0,,64360.0,94.0,46.7,34.5,18.5,90.4,4.0,4.2
,,,,,,,,55417.0,78.1,19.3,34.8,17.6,89.5,0.5,37.3
3.0,0.0,1.0,0.0,,0.0,140.0,82.0,41744.0,89.8,14.3,43.6,20.4,98.6,1.2,1.8
4.0,0.0,1.0,0.0,0.0,-1.0,190.0,156.0,35000.0,91.8,27.4,44.4,22.1,78.6,2.0,49.3
5.0,1.0,-1.0,1.0,1.0,0.0,138.0,107.0,80520.0,95.8,55.0,44.7,21.5,91.3,3.3,1.9
,,,,,,,,51090.0,82.2,26.9,35.1,14.5,53.2,36.4,23.2
2.0,0.0,-1.0,-1.0,0.0,-1.0,142.0,142.0,89002.0,91.2,30.9,36.9,14.4,78.4,6.0,26.6
2.0,0.0,-1.0,0.0,,0.0,118.0,78.0,34915.0,89.1,15.8,37.2,14.9,100.0,0.3,0.5
2.0,0.0,-1.0,-1.0,0.0,-1.0,156.0,114.0,38424.0,84.3,21.5,41.8,19.2,58.6,40.9,4.5
2.0,0.0,0.0,-1.0,0.0,0.0,154.0,140.0,35332.0,85.5,15.2,41.4,20.6,57.9,37.6,4.1
3.0,0.0,1.0,-1.0,0.0,-1.0,235.0,162.0,,,,,,,,
3.0,0.0,1.0,-1.0,0.0,-1.0,186.0,123.0,81042.0,82.8,29.4,34.6,9.1,70.0,16.6,34.0
2.0,0.0,-1.0,,0.0,0.0,118.0,106.0,40087.0,75.0,11.3,40.6,19.8,98.9,0.6,0.7
,,,,,1.0,104.0,11.0,52039.0,90.3,20.8,44.2,22.8,98.4,1.8,3.1
4.0,0.0,1.0,1.0,0.0,-1.0,185.0,190.0,61886.0,96.0,41.0,45.0,22.4,79.5,16.4,2.4
2.0,0.0,-1.0,0.0,0.0,-1.0,190.0,108.0,84054.0,90.1,43.9,41.4,15.7,55.6,32.8,27.5
5.0,0.0,1.0,1.0,,,,,61214.0,89.4,39.1,41.0,18.9,80.8,13.2,20.6
5.0,0.0,1.0,1.0,0.0,0.0,158.0,107.0,55122.0,92.6,40.7,34.1,13.8,86.9,7.8,14.4
2.0,0.0,1.0,-1.0,0.0,0.0,156.0,93.0,40173.0,83.2,17.1,41.1,18.3,95.4,5.1,3.3
4.0,,1.0,1.0,0.0,,,150.0,91947.0,96.7,49.3,39.8,18.2,84.0,6.1,17.8
,,,1.0,0.0,,,,75016.0,92.1,36.2,40.9,13.3,94.1,2.4,4.9
3.0,,-1.0,,0.0,1.0,77.0,25.0,44921.0,80.2,15.2,43.5,22.7,96.4,0.2,13.3
1.0,0.0,0.0,-1.0,0.0,-1.0,243.0,237.0,79754.0,90.3,43.5,37.5,12.3,38.9,47.4,15.5
2.0,0.0,-1.0,0.0,0.0,-1.0,188.0,112.0,47955.0,80.6,19.5,34.6,12.1,13.5,75.4,17.6
3.0,0.0,-1.0,1.0,,0.0,151.0,35.0,36131.0,81.8,10.3,36.7,15.5,81.3,18.4,7.9
4.0,0.0,1.0,0.0,0.0,0.0,150.0,65.0,25595.0,80.9,13.5,42.7,16.4,40.9,58.7,1.6
2.0,0.0,-1.0,0.0,0.0,-1.0,153.0,108.0,61220.0,77.3,26.1,35.7,12.1,58.8,10.5,39.5
3.0,0.0,0.0,0.0,0.0,0.0,118.0,71.0,47088.0,89.0,26.0,46.8,23.6,88.2,8.3,8.2
4.0,0.0,1.0,0.0,0.0,1.0,148.0,88.0,121907.0,97.5,64.4,42.2,16.5,87.9,2.5,9.2
4.0,0.0,1.0,1.0,0.0,0.0,146.0,60.0,53079.0,94.8,25.7,43.6,20.9,97.7,0.8,1.0
2.0,-1.0,-1.0,-1.0,0.0,-1.0,186.0,167.0,48270.0,89.5,24.1,38.3,16.3,64.1,32.9,8.1
5.0,0.0,1.0,1.0,,,103.0,,55160.0,94.4,26.4,43.8,22.0,97.7,1.0,5.3
2.0,0.0,-1.0,0.0,0.0,0.0,113.0,61.0,38710.0,87.2,18.0,41.4,19.7,82.2,14.1,7.4
3.0,0.0,1.0,,,0.0,174.0,80.0,50893.0,84.6,20.1,42.0,17.9,98.9,1.3,5.8
,,,,,0.0,186.0,1.0,39879.0,84.1,20.4,28.7,7.1,38.3,49.1,32.0
3.0,0.0,-1.0,,0.0,0.0,108.0,96.0,50776.0,88.8,19.6,41.1,19.0,93.9,3.0,22.3
4.0,0.0,1.0,1.0,0.0,1.0,112.0,65.0,60251.0,94.9,27.8,42.6,22.0,98.0,1.3,2.0
5.0,0.0,1.0,1.0,0.0,1.0,149.0,57.0,71615.0,92.5,33.7,39.0,13.7,87.8,7.6,12.3
4.0,0.0,1.0,0.0,0.0,0.0,133.0,40.0,37058.0,79.8,16.4,40.0,16.9,87.3,11.4,3.8
3.0,0.0,0.0,0.0,0.0,1.0,77.0,33.0,42405.0,83.1,19.8,36.2,16.0,85.9,7.2,14.1
4.0,,,1.0,0.0,,,74.0,59817.0,78.2,25.6,37.6,14.1,45.6,15.1,45.2
,,,1.0,0.0,,,,69804.0,93.4,27.4,48.0,21.4,96.5,3.0,0.2
,,0.0,1.0,,,131.0,40.0,38864.0,91.2,21.7,51.6,28.1,99.1,0.4,2.8
2.0,0.0,-1.0,0.0,0.0,1.0,123.0,68.0,35988.0,84.1,14.8,44.9,20.8,97.3,2.4,2.1
,,,,,,99.0,18.0,38000.0,84.9,15.2,42.5,21.0,90.3,3.7,5.6
2.0,0.0,0.0,-1.0,1.0,1.0,101.0,78.0,42935.0,83.3,15.7,38.1,14.7,54.1,42.3,7.6
2.0,0.0,-1.0,-1.0,0.0,0.0,133.0,94.0,45732.0,68.1,18.4,32.1,14.1,93.4,2.0,82.9
4.0,0.0,0.0,0.0,0.0,-1.0,198.0,124.0,52813.0,82.7,18.0,42.3,20.2,72.5,26.5,10.3
1.0,1.0,-1.0,-1.0,-1.0,-1.0,186.0,153.0,45997.0,82.2,42.0,36.8,15.9,30.5,26.2,8.4
1.0,0.0,-1.0,-1.0,-1.0,-1.0,229.0,257.0,41146.0,90.8,42.1,31.0,8.6,82.3,7.0,11.6
3.0,0.0,-1.0,-1.0,0.0,1.0,131.0,81.0,81164.0,93.9,49.0,35.1,7.7,58.7,15.6,14.0
,,,,,0.0,101.0,30.0,28750.0,66.3,8.7,43.3,19.5,83.2,0.1,76.9
,,,,,1.0,92.0,5.0,45250.0,91.5,18.0,47.9,26.8,97.4,1.6,3.8
4.0,0.0,0.0,1.0,0.0,1.0,96.0,27.0,60442.0,92.6,21.7,46.6,24.0,97.9,0.8,1.1
,,,1.0,,1.0,95.0,28.0,31505.0,77.0,15.4,37.0,16.8,39.1,60.5,0.0
3.0,1.0,-1.0,0.0,-1.0,-1.0,297.0,224.0,69615.0,80.9,40.2,33.1,10.1,71.6,18.4,19.4
2.0,-1.0,-1.0,-1.0,-1.0,0.0,128.0,54.0,43406.0,89.9,20.3,41.7,17.5,78.3,22.8,2.3
4.0,0.0,1.0,1.0,0.0,0.0,148.0,112.0,62923.0,96.3,68.4,33.9,10.1,90.6,5.9,9.6
1.0,-1.0,-1.0,-1.0,0.0,-1.0,263.0,177.0,17940.0,81.5,15.8,37.5,9.3,43.7,56.3,2.1
3.0,0.0,-1.0,0.0,0.0,-1.0,189.0,234.0,112372.0,96.5,57.9,46.7,23.3,89.9,2.4,6.6
3.0,-1.0,1.0,1.0,0.0,-1.0,162.0,161.0,43235.0,89.1,39.8,34.1,14.8,52.9,44.5,3.9
3.0,0.0,1.0,0.0,0.0,0.0,151.0,129.0,60333.0,95.0,57.2,34.8,8.6,80.1,12.6,8.9
2.0,0.0,1.0,-1.0,0.0,0.0,168.0,119.0,50573.0,93.7,34.2,34.9,16.1,87.9,2.3,2.1
4.0,0.0,1.0,0.0,0.0,0.0,192.0,106.0,95874.0,96.6,54.7,36.8,9.3,83.0,12.9,7.3
3.0,0.0,1.0,0.0,0.0,1.0,85.0,74.0,88699.0,95.9,48.6,36.2,11.6,93.7,1.7,7.2
2.0,0.0,-1.0,0.0,0.0,-1.0,189.0,103.0,54745.0,94.2,29.6,42.5,17.7,75.2,23.9,3.4
3.0,0.0,-1.0,,-1.0,0.0,139.0,58.0,40095.0,80.7,25.5,29.3,12.9,77.8,3.4,43.0
,,,,,1.0,72.0,55.0,58204.0,91.3,21.4,42.9,17.0,95.9,2.3,3.6
2.0,-1.0,-1.0,1.0,0.0,0.0,173.0,92.0,69238.0,92.2,34.7,36.5,11.1,85.9,11.7,5.0
,,0.0,,,0.0,133.0,16.0,48256.0,90.4,22.3,43.2,20.2,89.5,4.9,27.2
5.0,0.0,1.0,1.0,0.0,-1.0,148.0,100.0,71476.0,94.5,42.1,53.5,28.7,90.2,7.3,5.9
,,0.0,,,1.0,85.0,6.0,54500.0,79.5,17.2,47.6,25.7,97.5,1.8,2.9
,,,,,1.0,122.0,41.0,56659.0,94.7,25.3,55.6,31.4,95.4,1.1,3.8
,,,,0.0,0.0,120.0,58.0,47601.0,89.2,22.8,47.7,24.7,94.1,0.1,3.8
3.0,0.0,0.0,-1.0,0.0,1.0,79.0,125.0,40747.0,86.9,14.7,44.4,21.0,97.0,3.5,1.1
,,,,,1.0,93.0,34.0,53172.0,87.8,20.5,41.4,20.3,89.0,2.0,19.0
2.0,-1.0,0.0,,0.0,1.0,110.0,53.0,37128.0,78.1,12.2,35.6,14.5,54.0,24.8,1.7
3.0,0.0,-1.0,1.0,,1.0,93.0,4.0,61489.0,91.0,21.5,43.0,21.6,97.6,0.3,7.3
2.0,0.0,-1.0,-1.0,0.0,-1.0,119.0,214.0,51335.0,89.1,28.5,36.7,16.2,72.9,16.2,13.5
,,,,,1.0,154.0,60.0,49160.0,90.1,12.2,45.6,21.7,97.8,1.9,1.6
3.0,0.0,-1.0,0.0,0.0,0.0,132.0,95.0,41177.0,82.3,22.8,40.4,17.7,84.8,14.7,3.5
3.0,0.0,0.0,,,1.0,98.0,50.0,49161.0,92.9,28.6,43.9,23.2,95.4,0.2,2.5
4.0,1.0,0.0,-1.0,0.0,-1.0,152.0,174.0,68543.0,69.3,16.1,32.3,9.4,77.5,3.5,75.9
,,,,0.0,0.0,110.0,71.0,54152.0,86.7,24.1,43.4,19.9,79.9,13.4,15.6
5.0,0.0,1.0,1.0,0.0,1.0,114.0,60.0,62500.0,58.1,10.8,30.8,12.0,99.4,1.0,1.2
,,,,,,,,30797.0,80.4,14.6,41.6,22.6,65.8,33.6,0.7
2.0,0.0,0.0,-1.0,-1.0,0.0,128.0,87.0,41308.0,45.8,5.7,32.0,9.7,64.9,1.7,96.6
5.0,1.0,1.0,1.0,0.0,0.0,162.0,93.0,117951.0,98.2,60.8,41.0,14.1,97.3,0.3,5.7
2.0,-1.0,1.0,-1.0,0.0,0.0,149.0,130.0,59087.0,90.8,26.7,35.5,13.8,84.5,5.6,32.1
3.0,0.0,-1.0,0.0,0.0,0.0,139.0,70.0,44792.0,92.6,20.9,36.8,17.2,94.1,2.7,4.7
3.0,0.0,0.0,-1.0,0.0,0.0,135.0,114.0,58605.0,90.8,34.1,36.6,13.6,84.7,2.8,7.3
5.0,0.0,1.0,0.0,0.0,1.0,143.0,83.0,47765.0,91.9,30.6,32.1,12.5,92.9,1.8,9.6
2.0,,-1.0,,0.0,0.0,264.0,137.0,67170.0,94.5,52.9,39.0,15.2,86.4,7.7,60.2
,,,,,,,,35828.0,80.0,25.3,26.8,9.2,46.1,41.5,27.7
4.0,0.0,0.0,1.0,0.0,,134.0,29.0,54702.0,94.0,22.4,49.6,23.3,98.5,0.9,1.1
3.0,0.0,0.0,0.0,0.0,0.0,141.0,104.0,77904.0,97.0,52.1,38.9,14.6,82.1,5.2,5.4
5.0,1.0,1.0,0.0,0.0,0.0,150.0,101.0,31907.0,70.7,9.1,33.6,13.3,26.2,37.7,57.9
4.0,1.0,-1.0,-1.0,0.0,-1.0,164.0,117.0,,100.0,61.0,19.9,0.0,39.3,14.4,8.8
4.0,0.0,1.0,0.0,0.0,1.0,118.0,58.0,45844.0,90.0,47.5,32.0,12.3,71.4,25.0,3.0
2.0,-1.0,0.0,-1.0,0.0,0.0,184.0,122.0,69170.0,88.2,25.7,45.2,24.0,79.0,0.9,23.0
,,,,,,,,88463.0,82.8,59.0,32.3,6.9,51.3,27.7,29.3
4.0,0.0,1.0,0.0,0.0,0.0,144.0,130.0,43435.0,81.4,17.9,43.4,19.2,82.8,10.8,7.8
3.0,0.0,1.0,0.0,0.0,-1.0,224.0,160.0,83210.0,94.9,40.2,34.8,10.0,87.8,3.5,17.6
4.0,,1.0,,0.0,1.0,107.0,50.0,29253.0,74.2,9.7,35.3,13.6,33.0,64.3,6.0
3.0,0.0,1.0,-1.0,0.0,-1.0,183.0,144.0,60554.0,74.6,19.5,31.4,9.8,66.3,5.0,60.2
5.0,0.0,1.0,0.0,0.0,-1.0,166.0,109.0,36859.0,77.7,15.2,44.7,21.3,92.4,5.5,10.5
4.0,0.0,0.0,0.0,0.0,-1.0,138.0,137.0,78876.0,88.0,22.4,41.3,16.8,35.0,1.4,9.0
,,,,,,,,45462.0,91.9,44.6,33.3,15.2,73.0,22.1,4.0
5.0,1.0,-1.0,-1.0,0.0,1.0,130.0,90.0,47952.0,87.0,21.3,36.3,14.6,47.0,39.8,15.0
3.0,0.0,1.0,-1.0,0.0,-1.0,192.0,126.0,50545.0,92.7,39.0,40.1,18.8,77.0,4.3,36.2
3.0,0.0,-1.0,-1.0,0.0,0.0,150.0,75.0,52466.0,91.9,20.2,47.0,25.2,79.3,17.0,10.3
2.0,,-1.0,,,0.0,,,41781.0,81.5,15.0,36.2,17.5,91.3,2.3,49.7
3.0,0.0,0.0,,,1.0,109.0,20.0,52952.0,94.4,20.6,39.1,18.7,91.8,1.7,11.8
4.0,,1.0,1.0,0.0,0.0,128.0,88.0,67472.0,91.7,29.5,41.2,17.0,96.8,0.5,5.5
4.0,1.0,1.0,-1.0,0.0,0.0,123.0,109.0,63398.0,91.6,25.2,46.6,18.4,94.2,3.4,5.0
3.0,0.0,-1.0,0.0,0.0,1.0,136.0,69.0,53188.0,82.8,36.5,32.9,9.8,71.6,16.8,19.9
1.0,0.0,-1.0,-1.0,0.0,-1.0,176.0,139.0,51413.0,70.6,30.2,30.3,6.7,44.2,15.1,63.0
